"dot_number","company","dba","city","state","phone","trucks","drivers","alert_basics","n_alerts","inspections","driver_oos","vehicle_oos","sms_profile"
"1554918","ROSSCON LLC","ROSS CONSTRUCTION","MUSKOGEE","OK","9186811166","16","10","HOS|DriverFitness|VehicleMaint","3","22","1","5","https://ai.fmcsa.dot.gov/SMS/Carrier/1554918/Overview.aspx"
"3893062","NNAMCO L C",,"LAUREL","MD","9123328979","4","1","HOS|DriverFitness|DrugsAlcohol","3","22","13","11","https://ai.fmcsa.dot.gov/SMS/Carrier/3893062/Overview.aspx"
"4191311","SMMM TRANSPORT INC",,"SPRINGFIELD","MA","4137693066","4","6","HOS|DriverFitness|VehicleMaint","3","20","1","2","https://ai.fmcsa.dot.gov/SMS/Carrier/4191311/Overview.aspx"
"176064","PACIFIC COMMERCIAL EQUIPMENT","AERO CONSTRUCTION","SNOHOMISH","WA","4253340082","32","15","DriverFitness|DrugsAlcohol|VehicleMaint","3","20","0","8","https://ai.fmcsa.dot.gov/SMS/Carrier/176064/Overview.aspx"
"3481970","CAN 28 TRANSPORT LLC",,"OMAHA","NE","5168009142","4","3","HOS|DriverFitness|VehicleMaint","3","20","7","7","https://ai.fmcsa.dot.gov/SMS/Carrier/3481970/Overview.aspx"
"1574715","GUARDADO CONSTRUCTION INC",,"POOLESVILLE","MD","2404898666","24","17","DriverFitness|DrugsAlcohol|VehicleMaint","3","18","2","9","https://ai.fmcsa.dot.gov/SMS/Carrier/1574715/Overview.aspx"
"4150659","TM TRANSPORT USA LLC",,"HIALEAH","FL","7868438123","1","1","HOS|DriverFitness|DrugsAlcohol","3","18","4","2","https://ai.fmcsa.dot.gov/SMS/Carrier/4150659/Overview.aspx"
"4307204","NKB TRUCKING LLC",,"DOUGLAS","GA","9128504938","2","2","HOS|DrugsAlcohol|VehicleMaint","3","16","10","13","https://ai.fmcsa.dot.gov/SMS/Carrier/4307204/Overview.aspx"
"3732934","XOBNI LLC",,"LINCOLN","NE","5318004519","13","8","HOS|DriverFitness|DrugsAlcohol","3","16","0","1","https://ai.fmcsa.dot.gov/SMS/Carrier/3732934/Overview.aspx"
"2557331","BLACK THUNDER TRANSPORT",,"TACOMA","WA","2533184531","6","4","DriverFitness|DrugsAlcohol|VehicleMaint","3","16","3","5","https://ai.fmcsa.dot.gov/SMS/Carrier/2557331/Overview.aspx"
"3490413","BEST LOGISTICS INC",,"EAST MEADOW","NY","6465918085","9","8","DriverFitness|DrugsAlcohol|VehicleMaint","3","15","3","3","https://ai.fmcsa.dot.gov/SMS/Carrier/3490413/Overview.aspx"
"3779729","MUANA TRANSPORT INC",,"FONTANA","CA","5105572808","2","2","HOS|DrugsAlcohol|VehicleMaint","3","15","4","2","https://ai.fmcsa.dot.gov/SMS/Carrier/3779729/Overview.aspx"
"3714268","OPOSSUM CARRIERS LLC",,"LAREDO","TX","9567018401","14","13","HOS|DrugsAlcohol|VehicleMaint","3","14","0","4","https://ai.fmcsa.dot.gov/SMS/Carrier/3714268/Overview.aspx"
"3774939","SUNSHINE OUTDOOR SERVICES LLC",,"OLD TOWN","FL","3523562473","4","4","DriverFitness|DrugsAlcohol|VehicleMaint","3","13","1","2","https://ai.fmcsa.dot.gov/SMS/Carrier/3774939/Overview.aspx"
"4039260","ARTEM'S TOWING LLC",,"AUBURN","WA","2064748103","3","3","HOS|DriverFitness|DrugsAlcohol","3","13","1","0","https://ai.fmcsa.dot.gov/SMS/Carrier/4039260/Overview.aspx"
"2158269","CLIFF COTE","CPC LANDSCAPE LLC","OLYMPIA","WA","3604025521","25","14","DriverFitness|DrugsAlcohol|VehicleMaint","3","12","2","5","https://ai.fmcsa.dot.gov/SMS/Carrier/2158269/Overview.aspx"
"4060852","ADVANTAGE ASPHALT PAVING LLC",,"MISSOULA","MT","4065418770","8","5","DriverFitness|DrugsAlcohol|VehicleMaint","3","12","3","1","https://ai.fmcsa.dot.gov/SMS/Carrier/4060852/Overview.aspx"
"3573445","SMART FREIGHT SOLUTIONS LLC",,"OWASSO","OK","9182022844","16","3","DriverFitness|DrugsAlcohol|VehicleMaint","3","12","6","4","https://ai.fmcsa.dot.gov/SMS/Carrier/3573445/Overview.aspx"
"3166147","COASTAL BEND CONTAINERS INC",,"ROBSTOWN","TX","3612996405","5","5","DriverFitness|DrugsAlcohol|VehicleMaint","3","11","0","2","https://ai.fmcsa.dot.gov/SMS/Carrier/3166147/Overview.aspx"
"54855","7X TRUCKING LLC",,"OAKLEY","KS","7856720435","3","3","DriverFitness|DrugsAlcohol|VehicleMaint","3","11","2","5","https://ai.fmcsa.dot.gov/SMS/Carrier/54855/Overview.aspx"
"4179996","M O BRYANT PAVING LLC","BRECK'S PAVING","COLUMBUS","OH","6142766002","22","14","DriverFitness|DrugsAlcohol|VehicleMaint","3","11","5","4","https://ai.fmcsa.dot.gov/SMS/Carrier/4179996/Overview.aspx"
"4397971","FISH ON PAVING & CHIP SEAL LLC",,"MISSOULA","MT","4062076242","5","9","HOS|DrugsAlcohol|VehicleMaint","3","10","5","2","https://ai.fmcsa.dot.gov/SMS/Carrier/4397971/Overview.aspx"
"4342052","MIDWEST CARGO SOLUTIONS LLC",,"CANTON","OH","3308465040","2","2","HOS|DriverFitness|VehicleMaint","3","9","6","3","https://ai.fmcsa.dot.gov/SMS/Carrier/4342052/Overview.aspx"
"4004854","BLACK HILLS TRENCHING & BORING LLC",,"SPEARFISH","SD","6056411584","10","14","DriverFitness|DrugsAlcohol|VehicleMaint","3","9","4","6","https://ai.fmcsa.dot.gov/SMS/Carrier/4004854/Overview.aspx"
"3722095","WAGNER TRANSPORT LLC",,"GOTHENBURG","NE","3085291212","3","1","HOS|DriverFitness|DrugsAlcohol","3","9","5","5","https://ai.fmcsa.dot.gov/SMS/Carrier/3722095/Overview.aspx"
"2896095","FOUR J'S TRUCKING CORP",,"GOODING","ID","2084902484","4","3","HOS|DriverFitness|DrugsAlcohol","3","9","6","6","https://ai.fmcsa.dot.gov/SMS/Carrier/2896095/Overview.aspx"
"3664766","SECURE COMMUTERS LLC","TRANSPORTATION","BIG LAKE","MN","9522428481","6","3","HOS|DrugsAlcohol|VehicleMaint","3","9","5","5","https://ai.fmcsa.dot.gov/SMS/Carrier/3664766/Overview.aspx"
"3215653","EMPIRE BROS CONSTRUCTION LLC",,"KENNEWICK","WA","5093662252","9","4","HOS|DriverFitness|VehicleMaint","3","9","3","5","https://ai.fmcsa.dot.gov/SMS/Carrier/3215653/Overview.aspx"
"2999469","COLYER GENERAL CONSTRUCTION LLC","COLYER ASPHALT","PLEASANT HILL","OR","5418702302","4","3","HOS|DriverFitness|VehicleMaint","3","8","1","5","https://ai.fmcsa.dot.gov/SMS/Carrier/2999469/Overview.aspx"
"3299187","CHEEMA INCORPORATED",,"MIDDLE RIVER","MD","4438389173","1","1","HOS|DriverFitness|DrugsAlcohol","3","8","6","6","https://ai.fmcsa.dot.gov/SMS/Carrier/3299187/Overview.aspx"
"4313199","GALILEO NETWORKS LLC","GALILEONETWORKSOLUTIONS","LAUREL","MT","9176031671","25","33","DriverFitness|DrugsAlcohol|VehicleMaint","3","8","7","7","https://ai.fmcsa.dot.gov/SMS/Carrier/4313199/Overview.aspx"
"1584622","CHANCEY BOHANNAN SEPTIC & PORTA-JON LLC",,"ARCADIA","FL","8639902265","6","4","DriverFitness|DrugsAlcohol|VehicleMaint","3","8","4","5","https://ai.fmcsa.dot.gov/SMS/Carrier/1584622/Overview.aspx"
"3538200","FUENTES TRANSPORTATION LLC",,"NEW CANEY","TX","3463241234","50","51","HOS|DriverFitness","2","229","41","60","https://ai.fmcsa.dot.gov/SMS/Carrier/3538200/Overview.aspx"
"2901058","MASTER TRUCKING LLC",,"TUCSON","AZ","5208072300","33","32","HOS|DrugsAlcohol","2","100","21","16","https://ai.fmcsa.dot.gov/SMS/Carrier/2901058/Overview.aspx"
"2355940","TRANSFINITY LOGISTICS INC",,"ADDISON","IL","6303943400","23","20","HOS|DrugsAlcohol","2","86","1","13","https://ai.fmcsa.dot.gov/SMS/Carrier/2355940/Overview.aspx"
"3562253","INFINITE SERVICES INC",,"DOWNEY","CA","4086441199","5","12","DriverFitness|DrugsAlcohol","2","81","15","8","https://ai.fmcsa.dot.gov/SMS/Carrier/3562253/Overview.aspx"
"3682635","SONVIK TRANSPORT LLC",,"FRESNO","CA","2066659237","25","30","HOS|DrugsAlcohol","2","80","17","20","https://ai.fmcsa.dot.gov/SMS/Carrier/3682635/Overview.aspx"
"2830413","UV TRANS INC",,"SPARKS","NV","7757750777","16","19","HOS|DrugsAlcohol","2","77","5","5","https://ai.fmcsa.dot.gov/SMS/Carrier/2830413/Overview.aspx"
"3145419","REX LOGISTICS LLC",,"MIAMI","FL","7864220459","25","25","HOS|DrugsAlcohol","2","77","20","19","https://ai.fmcsa.dot.gov/SMS/Carrier/3145419/Overview.aspx"
"3539434","SPARK LOGISTIC INC",,"DALLAS","TX","7752999414","21","17","HOS|DriverFitness","2","66","6","16","https://ai.fmcsa.dot.gov/SMS/Carrier/3539434/Overview.aspx"
"2871763","ANA GONZALEZ","AJ SOLUTIONS","HOUSTON","TX","8323727516","10","10","DriverFitness|DrugsAlcohol","2","64","7","24","https://ai.fmcsa.dot.gov/SMS/Carrier/2871763/Overview.aspx"
"3288908","SOUTH HAVEN TRUCKING LLC","SOUTH HAVEN TRUCKING","BRAMAN","OK","4056399979","43","65","DrugsAlcohol|VehicleMaint","2","59","2","12","https://ai.fmcsa.dot.gov/SMS/Carrier/3288908/Overview.aspx"
"2835454","ZACK TRANSPORTATION LLC",,"COLUMBUS","OH","6147049484","21","21","DriverFitness|VehicleMaint","2","59","3","12","https://ai.fmcsa.dot.gov/SMS/Carrier/2835454/Overview.aspx"
"4155560","FAMILIA TRANSPORT LLC",,"WICHITA","KS","3162134444","5","2","HOS|DriverFitness","2","55","12","15","https://ai.fmcsa.dot.gov/SMS/Carrier/4155560/Overview.aspx"
"2966443","BEK AUTOTRANSPORT LLC",,"MASON","OH","5138882552","6","7","DriverFitness|VehicleMaint","2","53","7","9","https://ai.fmcsa.dot.gov/SMS/Carrier/2966443/Overview.aspx"
"3158760","AKRON FITS INC",,"INDEPENDENCE","OH","4408329145","10","9","DriverFitness|DrugsAlcohol","2","51","3","7","https://ai.fmcsa.dot.gov/SMS/Carrier/3158760/Overview.aspx"
"3213446","JOHNSON TRUCKING LLC",,"SELAH","WA","5099854523","8","3","HOS|DrugsAlcohol","2","51","16","17","https://ai.fmcsa.dot.gov/SMS/Carrier/3213446/Overview.aspx"
"3553125","SEVEN LOGISTICS INC",,"ONTARIO","CA","9094383006","8","12","HOS|DriverFitness","2","51","5","5","https://ai.fmcsa.dot.gov/SMS/Carrier/3553125/Overview.aspx"
"4052768","KFG TRANSPORT LLC",,"ADELANTO","CA","9512636704","15","14","HOS|DrugsAlcohol","2","50","14","6","https://ai.fmcsa.dot.gov/SMS/Carrier/4052768/Overview.aspx"
"3577515","MA TRANSPORTATION LLC",,"BEDFORD","TX","3192376307","13","15","HOS|DriverFitness","2","49","3","13","https://ai.fmcsa.dot.gov/SMS/Carrier/3577515/Overview.aspx"
"1635920","ALASKA PACIFIC TRUCKING INC",,"PORT ANGELES","WA","3604601812","14","12","DriverFitness|DrugsAlcohol","2","49","1","7","https://ai.fmcsa.dot.gov/SMS/Carrier/1635920/Overview.aspx"
"3723571","SPEEDY X GROUP INC",,"DIAMOND BAR","CA","9518181565","4","3","HOS|DriverFitness","2","48","18","9","https://ai.fmcsa.dot.gov/SMS/Carrier/3723571/Overview.aspx"
"2337020","FLORIDA INFRASTRUCTURE INC",,"HILLIARD","FL","9043789700","15","14","DrugsAlcohol|VehicleMaint","2","47","1","1","https://ai.fmcsa.dot.gov/SMS/Carrier/2337020/Overview.aspx"
"3439828","SUNNY TRUCKLINE INC",,"BAKERSFIELD","CA","9514389629","6","6","HOS|VehicleMaint","2","46","10","10","https://ai.fmcsa.dot.gov/SMS/Carrier/3439828/Overview.aspx"
"4210180","HJL TRUCKING CORP",,"SHAKOPEE","MN","6263658018","6","5","HOS|DrugsAlcohol","2","46","2","9","https://ai.fmcsa.dot.gov/SMS/Carrier/4210180/Overview.aspx"
"4133879","KM TECHNO LLC",,"NEWARK","NJ","9293331915","5","3","DriverFitness|DrugsAlcohol","2","46","18","9","https://ai.fmcsa.dot.gov/SMS/Carrier/4133879/Overview.aspx"
"2947217","US CARGO TRANSPORTATION SERVICES CORP",,"MICHIGAN CITY","IN","2243243863","14","14","DriverFitness|DrugsAlcohol","2","46","3","13","https://ai.fmcsa.dot.gov/SMS/Carrier/2947217/Overview.aspx"
"3650012","RATATATI INC",,"DAYTON","OH","7403245454","2","1","DriverFitness|VehicleMaint","2","45","10","11","https://ai.fmcsa.dot.gov/SMS/Carrier/3650012/Overview.aspx"
"2473334","JBC TRUCKING LLC",,"RENO","NV","7758301675","15","16","HOS|DrugsAlcohol","2","44","5","7","https://ai.fmcsa.dot.gov/SMS/Carrier/2473334/Overview.aspx"
"3778500","EP BORDER FREIGHT CO INC",,"EL PASO","TX","9155438489","11","13","HOS|DriverFitness","2","41","7","5","https://ai.fmcsa.dot.gov/SMS/Carrier/3778500/Overview.aspx"
"2370555","CHOATE OILFIELD SERVICES LLC",,"HENNESSEY","OK","5804020272","37","18","HOS|DriverFitness","2","41","2","11","https://ai.fmcsa.dot.gov/SMS/Carrier/2370555/Overview.aspx"
"4254395","GOLDEN MILE LLC",,"EL PASO","TX","9157991361","10","11","DriverFitness|DrugsAlcohol","2","40","13","12","https://ai.fmcsa.dot.gov/SMS/Carrier/4254395/Overview.aspx"
"2451605","SHADIRIS CORP",,"RICHMOND HILL","NY","9173373699","1","1","HOS|DriverFitness","2","40","12","10","https://ai.fmcsa.dot.gov/SMS/Carrier/2451605/Overview.aspx"
"4140689","TEXAS FUELERS LLC",,"EDINBURG","TX","9563095062","5","5","DriverFitness|DrugsAlcohol","2","39","2","13","https://ai.fmcsa.dot.gov/SMS/Carrier/4140689/Overview.aspx"
"3782333","I-TREE EXPERTS CO",,"MIDDLE RIVER","MD","4105914820","4","3","DriverFitness|DrugsAlcohol","2","39","20","29","https://ai.fmcsa.dot.gov/SMS/Carrier/3782333/Overview.aspx"
"4157994","LYNDON EXPRESS LLC",,"SAINT CLOUD","FL","5618603273","6","7","HOS|DriverFitness","2","38","3","9","https://ai.fmcsa.dot.gov/SMS/Carrier/4157994/Overview.aspx"
"3034060","OMELYANA TOWING LLC","OTL","ARLINGTON","WA","2065568659","15","13","DriverFitness|DrugsAlcohol","2","36","2","8","https://ai.fmcsa.dot.gov/SMS/Carrier/3034060/Overview.aspx"
"3709376","5 STARS EXPRESS LLC",,"SHAKOPEE","MN","3204790617","4","1","HOS|DriverFitness","2","36","1","9","https://ai.fmcsa.dot.gov/SMS/Carrier/3709376/Overview.aspx"
"4212048","UG LOGISTICS LLC",,"HOUSTON","TX","2817232185","3","3","DriverFitness|DrugsAlcohol","2","36","22","17","https://ai.fmcsa.dot.gov/SMS/Carrier/4212048/Overview.aspx"
"3433756","GRIZZLY TREE EXPERTS LLC",,"WOODSTOCK","GA","6787093371","22","14","DriverFitness|DrugsAlcohol","2","35","26","7","https://ai.fmcsa.dot.gov/SMS/Carrier/3433756/Overview.aspx"
"2375228","IMAN CARRIERS INC",,"ST JOSEPH","MN","3205570490","6","5","DriverFitness|DrugsAlcohol","2","32","1","6","https://ai.fmcsa.dot.gov/SMS/Carrier/2375228/Overview.aspx"
"3693391","CITIE 1 TRUCKING LLC",,"GARFIELD HEIGHTS","OH","2162947451","6","8","HOS|DriverFitness","2","30","10","4","https://ai.fmcsa.dot.gov/SMS/Carrier/3693391/Overview.aspx"
"2428827","LOIS YODER TRUCKING LLC",,"HICKSVILLE","OH","2607504347","20","20","HOS|VehicleMaint","2","29","1","3","https://ai.fmcsa.dot.gov/SMS/Carrier/2428827/Overview.aspx"
"3440375","HOOFIN IT TRUCKING LLC",,"PLAINVIEW","NE","4026491975","12","10","DriverFitness|DrugsAlcohol","2","28","3","3","https://ai.fmcsa.dot.gov/SMS/Carrier/3440375/Overview.aspx"
"3173438","MECCA TRUCKING LLC",,"WOODBURY","MN","6126367423","5","8","DriverFitness|DrugsAlcohol","2","27","1","5","https://ai.fmcsa.dot.gov/SMS/Carrier/3173438/Overview.aspx"
"3559485","KANIA LOGISTICS LLC",,"BROOKLYN PARK","MN","7635684575","5","5","HOS|VehicleMaint","2","27","10","3","https://ai.fmcsa.dot.gov/SMS/Carrier/3559485/Overview.aspx"
"4314795","MTL TRANSPORT INC",,"KOKOMO","IN","9517056234","7","5","UnsafeDriving|DrugsAlcohol","2","27","8","6","https://ai.fmcsa.dot.gov/SMS/Carrier/4314795/Overview.aspx"
"4332570","ZEUS FAST TRANSPORT CORP",,"MIAMI","FL","7866565105","5","5","DriverFitness|VehicleMaint","2","27","17","18","https://ai.fmcsa.dot.gov/SMS/Carrier/4332570/Overview.aspx"
"1784268","IRON PINE COMPANY LLC",,"DEER LODGE","MT","4065600040","9","7","DriverFitness|VehicleMaint","2","26","2","8","https://ai.fmcsa.dot.gov/SMS/Carrier/1784268/Overview.aspx"
"2987572","EL BARBARAZO TRANSPORT INC",,"FONTANA","CA","9094967041","2","3","DrugsAlcohol|VehicleMaint","2","25","4","5","https://ai.fmcsa.dot.gov/SMS/Carrier/2987572/Overview.aspx"
"4257004","FLORES FREIGHT LLC",,"SILSBEE","TX","5127097143","13","12","HOS|DriverFitness","2","25","15","18","https://ai.fmcsa.dot.gov/SMS/Carrier/4257004/Overview.aspx"
"3183778","DURANGO LOGISTICS INC",,"HIDALGO","TX","9562502619","6","6","HOS|VehicleMaint","2","25","3","7","https://ai.fmcsa.dot.gov/SMS/Carrier/3183778/Overview.aspx"
"990999","CIRCUIT TRUCKING LLC",,"SUGAR CITY","ID","2083569038","48","38","HOS|DrugsAlcohol","2","25","5","4","https://ai.fmcsa.dot.gov/SMS/Carrier/990999/Overview.aspx"
"4247104","REVEREND TRANSPORTATION LLC",,"AKRON","OH","3309377511","3","4","HOS|DriverFitness","2","24","9","1","https://ai.fmcsa.dot.gov/SMS/Carrier/4247104/Overview.aspx"
"3902935","KEEP MOVING FORWARD ENTERPRISE LLC",,"CRESTLINE","CA","9099750756","1","2","DrugsAlcohol|VehicleMaint","2","24","4","10","https://ai.fmcsa.dot.gov/SMS/Carrier/3902935/Overview.aspx"
"2432203","F & Z TRANSPORT LLC",,"COLUMBIA","MO","5739994639","4","4","DriverFitness|DrugsAlcohol","2","24","11","4","https://ai.fmcsa.dot.gov/SMS/Carrier/2432203/Overview.aspx"
"4139469","TEXAS PREMIER LOGISTICS LLC",,"MCKINNEY","TX","2145051138","2","1","HOS|DriverFitness","2","24","10","3","https://ai.fmcsa.dot.gov/SMS/Carrier/4139469/Overview.aspx"
"4151524","ALL AMERICAN TRANS-CO LLC",,"FENTON","MI","7345786518","1","1","HOS|DriverFitness","2","23","10","4","https://ai.fmcsa.dot.gov/SMS/Carrier/4151524/Overview.aspx"
"4248114","POLO TRANSPORTATION LLC",,"SPRING","TX","3462527413","2","2","DriverFitness|DrugsAlcohol","2","23","20","18","https://ai.fmcsa.dot.gov/SMS/Carrier/4248114/Overview.aspx"
"3922393","XR LOGISTICS INC",,"ONTARIO","CA","6266877065","2","1","HOS|DrugsAlcohol","2","23","7","4","https://ai.fmcsa.dot.gov/SMS/Carrier/3922393/Overview.aspx"
"3499008","MAPLE'S EXPRESS DELIVERY SERVICES LLC","MAPLE'S EXPRESS DELIVERY SERVICES","BLYTHEWOOD","SC","8033615598","2","3","DriverFitness|DrugsAlcohol","2","22","10","5","https://ai.fmcsa.dot.gov/SMS/Carrier/3499008/Overview.aspx"
"1953716","FRUTCAMPO TRANSPORT LLC",,"PHARR","TX","9567870440","4","3","HOS|DrugsAlcohol","2","22","6","7","https://ai.fmcsa.dot.gov/SMS/Carrier/1953716/Overview.aspx"
"2778526","REINIEL TRUCKING LLC",,"CYPRESS","TX","7863994622","1","2","HOS|DrugsAlcohol","2","22","3","5","https://ai.fmcsa.dot.gov/SMS/Carrier/2778526/Overview.aspx"
"2177332","MICHAEL WILLIAM LOGISTICS INC",,"MIDWAY CITY","CA","6577127916","3","3","HOS|DrugsAlcohol","2","22","0","8","https://ai.fmcsa.dot.gov/SMS/Carrier/2177332/Overview.aspx"
"3151062","AKAL FREIGHT LLC",,"OAK CREEK","WI","8332813151","14","19","DriverFitness|DrugsAlcohol","2","22","1","1","https://ai.fmcsa.dot.gov/SMS/Carrier/3151062/Overview.aspx"
"4274800","OWNERLER EXPRESS INC",,"DES PLAINES","IL","3125055247","9","10","DriverFitness|DrugsAlcohol","2","22","2","5","https://ai.fmcsa.dot.gov/SMS/Carrier/4274800/Overview.aspx"
"3379984","FX LOGISTICS LLC",,"ORLANDO","FL","4074291429","3","3","DrugsAlcohol|VehicleMaint","2","22","5","9","https://ai.fmcsa.dot.gov/SMS/Carrier/3379984/Overview.aspx"
"1939957","RODOLFO VAZQUEZ",,"SANTA MARIA","TX","9568258100","4","4","HOS|DrugsAlcohol","2","21","1","5","https://ai.fmcsa.dot.gov/SMS/Carrier/1939957/Overview.aspx"
"4243030","MARTINEZ A&C TRUCKING LLC",,"WENONAH","NJ","2129206837","4","5","HOS|DriverFitness","2","21","12","7","https://ai.fmcsa.dot.gov/SMS/Carrier/4243030/Overview.aspx"
"2635100","4B'S BACKHOE SERVICE LLC",,"ODESSA","TX","4328884741","10","5","DriverFitness|DrugsAlcohol","2","21","5","12","https://ai.fmcsa.dot.gov/SMS/Carrier/2635100/Overview.aspx"
"984192","OZUNAS TRANSPORT LLC",,"WARDEN","WA","5097507749","10","6","DriverFitness|DrugsAlcohol","2","21","4","7","https://ai.fmcsa.dot.gov/SMS/Carrier/984192/Overview.aspx"
"3130251","DARREN YES TRUCKING",,"LA PUENTE","CA","6265869131","3","3","HOS|DriverFitness","2","21","5","4","https://ai.fmcsa.dot.gov/SMS/Carrier/3130251/Overview.aspx"
"3002629","ALBAZI TRUCKING INC",,"MACOMB","MI","5863545055","8","8","DriverFitness|DrugsAlcohol","2","21","2","1","https://ai.fmcsa.dot.gov/SMS/Carrier/3002629/Overview.aspx"
"3289256","EAST COAST LOGISTICS LLC",,"NEWARK","NJ","3476494861","3","3","DriverFitness|DrugsAlcohol","2","21","13","12","https://ai.fmcsa.dot.gov/SMS/Carrier/3289256/Overview.aspx"
"3417507","GT TRUCK AND TRANSPORTATION LLC",,"DAVENPORT","FL","4078105638","1","1","HOS|DriverFitness","2","20","12","6","https://ai.fmcsa.dot.gov/SMS/Carrier/3417507/Overview.aspx"
